,start,stop,length,is_marginal,ind,scaffold
0,1,342000,341999,True,0,scaffold_1
1,368001,391000,22999,False,0,scaffold_1
2,469001,498000,28999,False,0,scaffold_1
3,570001,643000,72999,False,0,scaffold_1
4,686001,743000,56999,False,0,scaffold_1
5,1073001,1087000,13999,False,0,scaffold_1
6,1281001,1292000,10999,False,0,scaffold_1
7,1815001,1898000,82999,False,0,scaffold_1
8,1954001,1964000,9999,False,0,scaffold_1
9,1965001,1984000,18999,False,0,scaffold_1
10,2449001,2517000,67999,False,0,scaffold_1
11,2729001,2746000,16999,False,0,scaffold_1
12,3181001,3208000,26999,False,0,scaffold_1
13,3714001,3738000,23999,False,0,scaffold_1
14,3915001,3941000,25999,False,0,scaffold_1
15,4065001,4111000,45999,False,0,scaffold_1
16,4322001,4355000,32999,False,0,scaffold_1
17,4796001,4811000,14999,False,0,scaffold_1
18,4928001,4984000,55999,False,0,scaffold_1
19,5484001,5511000,26999,False,0,scaffold_1
20,5536001,5569000,32999,False,0,scaffold_1
21,5858001,5872000,13999,False,0,scaffold_1
22,6108001,6153000,44999,False,0,scaffold_1
23,6228001,6379000,150999,False,0,scaffold_1
24,6384001,6507000,122999,False,0,scaffold_1
25,6543001,6557000,13999,False,0,scaffold_1
26,7038001,7247000,208999,False,0,scaffold_1
27,7248001,7588000,339999,False,0,scaffold_1
28,7590001,8477000,886999,False,0,scaffold_1
29,8478001,8656000,177999,False,0,scaffold_1
30,8658001,9584000,925999,False,0,scaffold_1
31,9586001,10354000,767999,False,0,scaffold_1
32,10461001,10639000,177999,False,0,scaffold_1
33,10808001,10811000,2999,False,0,scaffold_1
34,10839001,10857000,17999,False,0,scaffold_1
35,11351001,11504000,152999,False,0,scaffold_1
36,11616001,11951000,334999,False,0,scaffold_1
37,12184001,12204000,19999,False,0,scaffold_1
38,12662001,12722000,59999,False,0,scaffold_1
39,12777001,12888000,110999,False,0,scaffold_1
40,13113001,13211000,97999,False,0,scaffold_1
41,13347001,13377000,29999,False,0,scaffold_1
42,14595001,14598000,2999,False,0,scaffold_1
0,21001,48000,26999,False,0,scaffold_2
1,93001,159000,65999,False,0,scaffold_2
2,168001,177000,8999,False,0,scaffold_2
3,302001,318000,15999,False,0,scaffold_2
4,332001,374000,41999,False,0,scaffold_2
5,2336001,2358000,21999,False,0,scaffold_2
6,2404001,2424000,19999,False,0,scaffold_2
7,2441001,2599000,157999,False,0,scaffold_2
8,2660001,2689000,28999,False,0,scaffold_2
9,2694001,2742000,47999,False,0,scaffold_2
10,2993001,3021000,27999,False,0,scaffold_2
11,3454001,3463000,8999,False,0,scaffold_2
12,3761001,3783000,21999,False,0,scaffold_2
13,4383001,4409000,25999,False,0,scaffold_2
14,4427001,4457000,29999,False,0,scaffold_2
15,4520001,4556000,35999,False,0,scaffold_2
16,4606001,4654000,47999,False,0,scaffold_2
17,4918001,4954000,35999,False,0,scaffold_2
18,5022001,5031000,8999,False,0,scaffold_2
19,5033001,5061000,27999,False,0,scaffold_2
20,5456001,5475000,18999,False,0,scaffold_2
21,5491001,5511000,19999,False,0,scaffold_2
22,5668001,5704000,35999,False,0,scaffold_2
23,6261001,6330000,68999,False,0,scaffold_2
24,6331001,6351000,19999,False,0,scaffold_2
25,6411001,6449000,37999,False,0,scaffold_2
26,6611001,6626000,14999,False,0,scaffold_2
27,7019001,7036000,16999,False,0,scaffold_2
28,7439001,7472000,32999,False,0,scaffold_2
29,7563001,7697000,133999,False,0,scaffold_2
30,7786001,7890000,103999,False,0,scaffold_2
31,7933001,7967000,33999,False,0,scaffold_2
32,7983001,8092000,108999,False,0,scaffold_2
33,8331001,8333000,1999,False,0,scaffold_2
34,8346001,8453000,106999,False,0,scaffold_2
35,8509001,8557000,47999,False,0,scaffold_2
36,11367001,11375000,7999,False,0,scaffold_2
37,11520001,11785000,264999,False,0,scaffold_2
0,1,2000,1999,True,0,scaffold_3
1,51001,55000,3999,False,0,scaffold_3
2,799001,900000,100999,False,0,scaffold_3
3,2085001,2108000,22999,False,0,scaffold_3
4,2291001,2321000,29999,False,0,scaffold_3
5,2498001,2533000,34999,False,0,scaffold_3
6,3772001,3809000,36999,False,0,scaffold_3
7,3826001,3860000,33999,False,0,scaffold_3
8,4108001,4397000,288999,False,0,scaffold_3
9,4418001,4519000,100999,False,0,scaffold_3
10,4547001,4558000,10999,False,0,scaffold_3
11,4646001,4685000,38999,False,0,scaffold_3
12,5494001,5509000,14999,False,0,scaffold_3
13,6909001,6962000,52999,False,0,scaffold_3
14,6980001,7079000,98999,False,0,scaffold_3
15,7451001,7458000,6999,False,0,scaffold_3
16,7522001,7556000,33999,False,0,scaffold_3
17,7692001,7731000,38999,False,0,scaffold_3
18,7775001,7799000,23999,False,0,scaffold_3
